LA Code,,,,Children's and young people's services £000s,Pupil / Population Count,Spend per Capita (£) 
,,,,,,
E06000005,841,Darlington,,"24,397","22,520","1,083"
E06000047,840,Durham,,"76,389","101,307",754
E08000020,390,Gateshead,,"36,308","40,331",900
E06000001,805,Hartlepool,,"23,559","19,956","1,181"
E06000002,806,Middlesbrough,,"41,197","32,586","1,264"
E08000021,391,Newcastle upon Tyne,,"65,632","58,979","1,113"
E08000022,392,North Tyneside,,"28,764","41,008",701
E06000048,929,Northumberland,,"42,312","58,096",728
E06000003,807,Redcar and Cleveland,,"30,597","27,456","1,114"
E08000023,393,South Tyneside,,"27,718","29,893",927
E06000004,808,Stockton-on-Tees,,"37,005","43,656",848
E08000024,394,Sunderland,,"62,246","54,535","1,141"
,,,,,,
,,NORTH WEST,,"1,299,353","1,561,487",832
E06000008,889,Blackburn with Darwen,,"30,225","38,382",787
E06000009,890,Blackpool,,"40,314","28,685","1,405"
E08000001,350,Bolton,,"50,301","68,055",739
E08000002,351,Bury,,"27,208","43,677",623
E06000049,895,Cheshire East,,"50,219","76,118",660
E06000050,896,Cheshire West and Chester,,"46,865","67,439",695
E10000006,909,Cumbria,,"85,703","92,396",928
E06000006,876,Halton,,"30,460","28,510","1,068"
E08000011,340,Knowsley,,"32,738","33,344",982
E10000017,888,Lancashire,,"192,189","249,462",770
E08000012,341,Liverpool,,"94,189","95,812",983
E08000003,352,Manchester,,"119,970","126,104",951
E08000004,353,Oldham,,"50,021","60,127",832
E08000005,354,Rochdale,,"45,849","52,329",876
E08000006,355,Salford,,"45,813","57,485",797
E08000014,343,Sefton,,"47,328","53,848",879
E08000013,342,St. Helens,,"40,659","36,710","1,108"
E08000007,356,Stockport,,"37,853","64,125",590
E08000008,357,Tameside,,"61,917","50,312","1,231"
E08000009,358,Trafford,,"30,968","57,010",543
E06000007,877,Warrington,,"33,060","45,171",732
E08000010,359,Wigan,,"42,842","68,124",629
E08000015,344,Wirral,,"62,662","68,262",918
,,,,,,
,,YORKSHIRE AND THE HUMBER,,"912,994","1,170,982",780
E08000016,370,Barnsley,,"36,082","51,038",707
E08000032,380,Bradford,,"93,132","141,799",657
E08000033,381,Calderdale,,"42,625","46,538",916
E08000017,371,Doncaster,,"55,260","66,298",834
E06000011,811,East Riding of Yorkshire,,"40,371","62,673",644
E06000010,810,"Kingston Upon Hull, City of",,"64,047","57,448","1,115"
E08000034,382,Kirklees,,"75,802","100,419",755
E08000035,383,Leeds,,"132,601","171,389",774
E06000012,812,North East Lincolnshire,,"36,232","34,401","1,053"
E06000013,813,North Lincolnshire,,"27,622","35,460",779
E10000023,815,North Yorkshire,,"53,528","117,817",454
E08000018,372,Rotherham,,"82,888","57,201","1,449"
E08000019,373,Sheffield,,"91,221","118,940",767
E08000036,384,Wakefield,,"58,921","72,242",816
E06000014,816,York,,"22,662","37,319",607
,,,,,,
,,EAST MIDLANDS,,"690,388","1,002,054",689
E06000015,831,Derby,,"62,526","60,517","1,033"
E10000007,830,Derbyshire,,"100,804","153,082",658
E06000016,856,Leicester,,"68,285","86,579",789
E10000018,855,Leicestershire,,"78,110","139,941",558
E10000019,925,Lincolnshire,,"78,894","146,724",538
E10000021,928,Northamptonshire,,"109,737","170,323",644
E06000018,892,Nottingham,,"63,426","69,938",907
E10000024,891,Nottinghamshire,,"123,455","167,163",739
E06000017,857,Rutland,,"5,151","7,787",661
,,,,,,
,,WEST MIDLANDS,,"976,008","1,299,790",751
E08000025,330,Birmingham,,"204,017","294,048",694
E08000026,331,Coventry,,"81,014","81,417",995
E08000027,332,Dudley,,"56,159","69,304",810
E06000019,884,Herefordshire,,"23,886","36,285",658
E08000028,333,Sandwell,,"78,008","82,689",943
E06000051,893,Shropshire,,"34,161","59,218",577
E08000029,334,Solihull,,"32,371","47,300",684
E10000028,860,Staffordshire,,"109,602","169,055",648
E06000021,861,Stoke-on-Trent,,"57,946","57,957","1,000"
E06000020,894,Telford and Wrekin,,"37,125","40,130",925
E08000030,335,Walsall,,"56,271","68,062",827
E10000031,937,Warwickshire,,"73,944","114,830",644
